;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
21722;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21723;;в;В;PR;;;эту атмосферу , _в_ твоих ушах уже;в;;;;;;PR;В;PR;В
21724;;твоих;ТВОЙ;APRO - loc2 pl plen - -;;;атмосферу , в _твоих_ ушах уже ,;х;и;о;в;т;;APRO;ТВОЙ;A - loc pl plen - -;Й
21725;;ушах;УХО;S n inan loc2 pl;;;, в твоих _ушах_ уже , кажется;х;а;ш;у;;;S;УХО;S n inan loc pl;О
21726;;уже;УЖЕ;ADV -;;;в твоих ушах _уже_ , кажется ,;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
21727;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21728;;кажется;КАЖЕТСЯ;PARENTH;;;ушах уже , _кажется_ , звучит голос;я;с;т;е;ж;а;ADV;КАЖЕТСЯ;ADV -;Я
21729;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21730;;звучит;ЗВУЧАТЬ;V ipf praes sg indic - 3p;;;, кажется , _звучит_ голос Эдит Пиаф;т;и;ч;у;в;з;V;ЗВУЧАТЬ;V ipf praes sg indic - 3p;Ь
21731;;голос;ГОЛОС;S m inan nom sg;;;кажется , звучит _голос_ Эдит Пиаф .;с;о;л;о;г;;S;ГОЛОС;S m inan nom sg;С
21732;;Эдит;ЭДИТ;S f anim gen sg persn 0;;;, звучит голос _Эдит_ Пиаф . ;т;и;д;э;;;S;ЭДИТ;S f anim nom sg;Т
21733;;Пиаф;ПИАФ;S f anim gen sg famn 0;;;звучит голос Эдит _Пиаф_ .  ;ф;а;и;п;;;S;ПИАФ;S f anim nom sg;Ф
21734;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21735;;;;;;;;;;;;;;;;;
21736;# sent = 1541;;;;;;;;;;;;;;;;
21737;;И;И;PART;;;.   _И_ , кажется ,;и;;;;;;CONJ;И;CONJ;И
21738;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21739;;кажется;КАЗАТЬСЯ;PARENTH;;; И , _кажется_ , ещё немного;я;с;т;е;ж;а;V;КАЗАТЬСЯ;V ipf praes sg indic - 3p;Я
21740;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21741;;ещё;ЕЩЕ;ADV -;;;, кажется , _ещё_ немного , вот-вот;ё;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
21742;;немного;НЕМНОГО;ADV -;;;кажется , ещё _немного_ , вот-вот ,;о;г;о;н;м;е;ADV;НЕМНОГО;ADV -;О
21743;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21744;;вот-вот;ВОТ-ВОТ;ADV -;;;ещё немного , _вот-вот_ , свернув за;т;о;в;-;т;о;ADV;ВОТ-ВОТ;ADV -;Т
21745;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21746;;свернув;СВЕРНУТЬ;V pf praet - ger - -;;;, вот-вот , _свернув_ за угол ,;в;у;н;р;е;в;V;СВЕРНУТЬ;V pf praet - ger - -;Ь
21747;;за;ЗА;PR;;;вот-вот , свернув _за_ угол , можно;а;з;;;;;PR;ЗА;PR;А
21748;;угол;УГОЛ;S m inan acc sg;;;, свернув за _угол_ , можно встретить;л;о;г;у;;;S;УГОЛ;S m inan acc sg;Л
21749;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21750;;можно;МОЖНО;PRAEDIC;;;за угол , _можно_ встретить Жерара Депардье;о;н;ж;о;м;;PRAEDIC;МОЖНО;PRAEDIC;О
21751;;встретить;ВСТРЕТИТЬ;V pf - - inf - -;;;угол , можно _встретить_ Жерара Депардье ,;ь;т;и;т;е;р;V;ВСТРЕТИТЬ;V pf - - inf - -;Ь
21752;;Жерара;ЖЕРАР;S m anim acc persn sg;;;, можно встретить _Жерара_ Депардье , Софи;а;р;а;р;е;ж;S;ЖЕРАР;S m anim gen sg;Р
21753;;Депардье;ДЕПАРДЬЕ;S m anim acc sg famn 0;;;можно встретить Жерара _Депардье_ , Софи Марсо;е;ь;д;р;а;п;S;ДЕПАРДЬЕ;S - anim gen sg;Е
21754;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21755;;Софи;СОФИ;S f anim gen sg persn 0;;;Жерара Депардье , _Софи_ Марсо , в;и;ф;о;с;;;S;СОФИ;S f anim nonflex -;И
21756;;Марсо;МАРСО;S f anim acc sg famn 0;;;Депардье , Софи _Марсо_ , в общем;о;с;р;а;м;;S;МАРСО;S - anim nonflex -;О
21757;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21758;;в;В;PR;;;Софи Марсо , _в_ общем , Париж;в;;;;;;PR;В;PR;В
21759;;общем;ОБЩИЙ;A - loc sg plen - -;;;Марсо , в _общем_ , Париж -;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
21760;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21761;;Париж;ПАРИЖ;S m inan nom sg;;;в общем , _Париж_ - это твой;ж;и;р;а;п;;S;ПАРИЖ;S m inan acc sg;Ж
21762;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21763;;это;ЭТО;SPRO n - nom sg;;;, Париж - _это_ твой город .;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
21764;;твой;ТВОЙ;APRO - nom sg plen m -;;;Париж - это _твой_ город . ;й;о;в;т;;;APRO;ТВОЙ;A - nom sg plen m -;Й
21765;;город;ГОРОД;S m inan nom sg;;;- это твой _город_ .  ;д;о;р;о;г;;S;ГОРОД;S m inan nom sg;Д
21766;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21767;;;;;;;;;;;;;;;;;
21768;# sent = 1542;;;;;;;;;;;;;;;;
21769;;А;А;PART;;;.   _А_ ты , кажется;а;;;;;;CONJ;А;CONJ;А
21770;;ты;ТЫ;SPRO sg 2p - nom;;;  А _ты_ , кажется ,;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
21771;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21772;;кажется;КАЖЕТСЯ;PARENTH;;;А ты , _кажется_ , блудный сын;я;с;т;е;ж;а;ADV;КАЖЕТСЯ;ADV -;Я
21773;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21774;;блудный;БЛУДНЫЙ;A - nom sg plen m -;;;, кажется , _блудный_ сын , который;й;ы;н;д;у;л;A;БЛУДНЫЙ;A - nom sg plen m -;Й
21775;;сын;СЫН;S m anim nom sg;;;кажется , блудный _сын_ , который возвратился;н;ы;с;;;;S;СЫН;S m anim nom sg;Н
21776;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21777;;который;КОТОРЫЙ;APRO - nom sg plen m -;;;блудный сын , _который_ возвратился в родной;й;ы;р;о;т;о;APRO;КОТОРЫЙ;A - nom sg plen m -;Й
21778;;возвратился;ВОЗВРАТИТЬСЯ;V pf praet sg indic m -;;;сын , который _возвратился_ в родной дом;я;с;л;и;т;а;V;ВОЗВРАТИТЬСЯ;V pf praet sg indic m -;Я
21779;;в;В;PR;;;, который возвратился _в_ родной дом и;в;;;;;;PR;В;PR;В
21780;;родной;РОДНОЙ;A - acc sg plen m inan;;;который возвратился в _родной_ дом и он;й;о;н;д;о;р;A;РОДНОЙ;A - acc sg plen m inan;Й
21781;;дом;ДОМ;S m inan acc sg;;;возвратился в родной _дом_ и он тебя;м;о;д;;;;S;ДОМ;S m inan acc sg;М
21782;;и;И;CONJ;;;в родной дом _и_ он тебя принимает;и;;;;;;CONJ;И;CONJ;И
21783;;он;ОН;SPRO sg 3p m nom;;;родной дом и _он_ тебя принимает ,;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
21784;;тебя;ТЫ;SPRO sg 2p - acc;;;дом и он _тебя_ принимает , да;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc;Ы
21785;;принимает;ПРИНИМАТЬ;V ipf praes sg indic - 3p;;;и он тебя _принимает_ , да ,;т;е;а;м;и;н;V;ПРИНИМАТЬ;V ipf praes sg indic - 3p;Ь
21786;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21787;;да;ДА;PART;;;тебя принимает , _да_ , Париж -;а;д;;;;;CONJ;ДА;CONJ;А
21788;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21789;;Париж;ПАРИЖ;S m inan nom sg;;;, да , _Париж_ - это твой;ж;и;р;а;п;;S;ПАРИЖ;S m inan nom sg;Ж
21790;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21791;;это;ЭТО;SPRO n - nom sg;;;, Париж - _это_ твой город .;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
21792;;твой;ТВОЙ;APRO - nom sg plen m -;;;Париж - это _твой_ город . ;й;о;в;т;;;APRO;ТВОЙ;A - nom sg plen m -;Й
21793;;город;ГОРОД;S m inan nom sg;;;- это твой _город_ .  ;д;о;р;о;г;;S;ГОРОД;S m inan nom sg;Д
21794;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21795;;;;;;;;;;;;;;;;;
21796;# sent = 1543;;;;;;;;;;;;;;;;
21797;;Парижане;ПАРИЖАНИН;S m anim nom pl;;;.   _Парижане_ ... они не;е;н;а;ж;и;р;S;ПАРИЖАНИН;S m anim dat sg;Н
21798;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
21799;;они;ОНИ;SPRO pl - - nom;;; Парижане ... _они_ не такие ,;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
21800;;не;НЕ;PART;;;Парижане ... они _не_ такие , как;е;н;;;;;PART;НЕ;PART;Е
21801;;такие;ТАКОЙ;APRO - nom pl plen - -;;;... они не _такие_ , как ньюйоркцы;е;и;к;а;т;;APRO;ТАКОЙ;A - nom pl plen - -;Й
21802;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21803;;как;КАК;PART;;;не такие , _как_ ньюйоркцы , но;к;а;к;;;;PART;КАК;PART;К
21804;;ньюйоркцы;НЬЮЙОРКЕЦ;S m anim nom pl;;;такие , как _ньюйоркцы_ , но они;ы;ц;к;р;о;й;S;НЬЮЙОРКЕЦ;S m anim nom pl;Ц
21805;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21806;;но;НО;CONJ;;;как ньюйоркцы , _но_ они очень милые;о;н;;;;;CONJ;НО;CONJ;О
21807;;они;ОНИ;SPRO pl - - nom;;;ньюйоркцы , но _они_ очень милые ,;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
21808;;очень;ОЧЕНЬ;ADV -;;;, но они _очень_ милые , несмотря на;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
21809;;милые;МИЛЫЙ;A - nom pl plen - -;;;но они очень _милые_ , несмотря на то;е;ы;л;и;м;;A;МИЛЫЙ;A - nom pl plen - -;Й
21810;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21811;;несмотря на;несмотря на;PR;разднльно;;очень милые , _несмотря на_ то что относятся;а;н; ;я;р;т;PR;несмотря на;PR;а
21812;;то;ТО;SPRO n - acc sg;;;милые , несмотря на _то_ что относятся даже;о;т;;;;;SPRO;ТО;S n inan acc sg;О
21813;;что;ЧТО;CONJ;;;, несмотря на то _что_ относятся даже ,;о;т;ч;;;;CONJ;ЧТО;CONJ;О
21814;;относятся;ОТНОСИТЬСЯ;V ipf praes pl indic - 3p;;;несмотря на то что _относятся_ даже , я;я;с;т;я;с;о;V;ОТНОСИТЬСЯ;V ipf praes pl indic - 3p;Я
21815;;даже;ДАЖЕ;PART;;;то что относятся _даже_ , я бы;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
21816;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21817;;я;Я;SPRO sg 1p - nom;;;относятся даже , _я_ бы сказала ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
21818;;бы;БЫ;PART;;;даже , я _бы_ сказала , враждебно;ы;б;;;;;PART;БЫ;PART;Ы
21819;;сказала;СКАЗАТЬ;V pf praet sg indic f -;;;, я бы _сказала_ , враждебно с;а;л;а;з;а;к;V;СКАЗАТЬ;V pf praet sg indic f -;Ь
21820;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21821;;враждебно;ВРАЖДЕБНО;ADV -;;;бы сказала , _враждебно_ с ... и;о;н;б;е;д;ж;ADV;ВРАЖДЕБНО;ADV -;О
21822;;с;;NONLEX;;;сказала , враждебно _с_ ... и свысока;с;;;;;;PR;С;PR;
21823;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
21824;;и;И;CONJ;;;враждебно с ... _и_ свысока к приезжим;и;;;;;;CONJ;И;CONJ;И
21825;;свысока;СВЫСОКА;ADV -;;;с ... и _свысока_ к приезжим .;а;к;о;с;ы;в;ADV;СВЫСОКА;ADV -;А
21826;;к;К;PR;;;... и свысока _к_ приезжим . ;к;;;;;;PR;К;PR;К
21827;;приезжим;ПРИЕЗЖИЙ;S m anim dat pl;;;и свысока к _приезжим_ .  ;м;и;ж;з;е;и;S;ПРИЕЗЖИЙ;S m anim dat pl;Й
21828;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21829;;;;;;;;;;;;;;;;;
21830;# sent = 1544;;;;;;;;;;;;;;;;
21831;;Ну;НУ;PART;;;.   _Ну_ , не каждому;у;н;;;;;PART;НУ;PART;У
21832;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21833;;не;НЕ;PART;;; Ну , _не_ каждому же выпадает;е;н;;;;;PART;НЕ;PART;Е
21834;;каждому;КАЖДЫЙ;APRO - dat sg plen m -;;;Ну , не _каждому_ же выпадает такая;у;м;о;д;ж;а;APRO;КАЖДЫЙ;A - dat sg plen m -;Й
21835;;же;ЖЕ;PART;;;, не каждому _же_ выпадает такая честь;е;ж;;;;;PART;ЖЕ;PART;Е
21836;;выпадает;ВЫПАДАТЬ;V ipf praes sg indic - 3p;;;не каждому же _выпадает_ такая честь -;т;е;а;д;а;п;V;ВЫПАДАТЬ;V ipf praes sg indic - 3p;Ь
21837;;такая;ТАКОЙ;APRO - nom sg plen f -;;;каждому же выпадает _такая_ честь - родиться;я;а;к;а;т;;APRO;ТАКОЙ;A - nom sg plen f -;Й
21838;;честь;ЧЕСТЬ;S f inan nom sg;;;же выпадает такая _честь_ - родиться ,;ь;т;с;е;ч;;S;ЧЕСТЬ;S f inan nom sg;Ь
21839;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21840;;родиться;РОДИТЬСЯ;V ipf - - inf - -;;;такая честь - _родиться_ , жить в;я;с;ь;т;и;д;V;РОДИТЬСЯ;V ipf - - inf - -;Я
21841;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21842;;жить;ЖИТЬ;V ipf - - inf - -;;;- родиться , _жить_ в самом прекрасном;ь;т;и;ж;;;V;ЖИТЬ;V ipf - - inf - -;Ь
21843;;в;В;PR;;;родиться , жить _в_ самом прекрасном городе;в;;;;;;PR;В;PR;В
21844;;самом;САМЫЙ;APRO loc2 sg plen m;;;, жить в _самом_ прекрасном городе в;м;о;м;а;с;;A;САМЫЙ;A - loc sg plen n -;Й
21845;;прекрасном;ПРЕКРАСНЫЙ;A - loc sg plen m -;;;жить в самом _прекрасном_ городе в мире;м;о;н;с;а;р;A;ПРЕКРАСНЫЙ;A - loc sg plen n -;Й
21846;;городе;ГОРОД;S m inan loc2 sg;;;в самом прекрасном _городе_ в мире .;е;д;о;р;о;г;S;ГОРОД;S m inan loc sg;Д
21847;;в;В;PR;;;самом прекрасном городе _в_ мире . ;в;;;;;;PR;В;PR;В
21848;;мире;МИР;S m inan loc2 sg;;;прекрасном городе в _мире_ .  ;е;р;и;м;;;S;МИР;S m inan loc sg;Р
21849;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21850;;;;;;;;;;;;;;;;;
21851;# sent = 1545;;;;;;;;;;;;;;;;
21852;;Ну;НУ;PART;;;.   _Ну_ они вежливы ,;у;н;;;;;PART;НУ;PART;У
21853;;они;ОНИ;SPRO pl - - nom;;;  Ну _они_ вежливы , учтивы;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
21854;;вежливы;ВЕЖЛИВЫЙ;A - - pl brev - -;;; Ну они _вежливы_ , учтивы ,;ы;в;и;л;ж;е;A;ВЕЖЛИВЫЙ;A - - pl brev - -;Й
21855;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21856;;учтивы;УЧТИВЫЙ;A - - pl brev - -;;;они вежливы , _учтивы_ , улыбчивы и;ы;в;и;т;ч;у;A;УЧТИВЫЙ;A - - pl brev - -;Й
21857;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21858;;улыбчивы;УЛЫБЧИВЫЙ;A - - pl brev - -;;;, учтивы , _улыбчивы_ и очень приятны;ы;в;и;ч;б;ы;A;УЛЫБЧИВЫЙ;A - - pl brev - -;Й
21859;;и;И;CONJ;;;учтивы , улыбчивы _и_ очень приятны .;и;;;;;;CONJ;И;CONJ;И
21860;;очень;ОЧЕНЬ;ADV -;;;, улыбчивы и _очень_ приятны . ;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
21861;;приятны;ПРИЯТНЫЙ;A - - pl brev - -;;;улыбчивы и очень _приятны_ .  ;ы;н;т;я;и;р;A;ПРИЯТНЫЙ;A - - pl brev - -;Й
21862;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21863;;;;;;;;;;;;;;;;;
21864;# sent = 1546;;;;;;;;;;;;;;;;
21865;# speaker = Ольга;;;;;;;;;;;;;;;;
21866;# sent = 1547;;;;;;;;;;;;;;;;
21867;;Французский;ФРАНЦУЗСКИЙ;A - nom sg plen m -;;;   _Французский_ язык - это;й;и;к;с;з;у;A;ФРАНЦУЗСКИЙ;A - nom sg plen m -;Й
21868;;язык;ЯЗЫК;S m inan nom sg;;;  Французский _язык_ - это музыка;к;ы;з;я;;;S;ЯЗЫК;S m inan nom sg;К
21869;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21870;;это;ЭТО;SPRO n - nom sg;;;Французский язык - _это_ музыка . ;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
21871;;музыка;МУЗЫКА;S f inan nom sg;;;язык - это _музыка_ .  ;а;к;ы;з;у;м;S;МУЗЫКА;S f inan nom sg;А
21872;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21873;;;;;;;;;;;;;;;;;
21874;# sent = 1548;;;;;;;;;;;;;;;;
21875;;Конечно;КОНЕЧНО;PARENTH;;;.   _Конечно_ , можно и;о;н;ч;е;н;о;ADV;КОНЕЧНО;ADV -;О
21876;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21877;;можно;МОЖНО;PRAEDIC;;; Конечно , _можно_ и обругать человека;о;н;ж;о;м;;PRAEDIC;МОЖНО;PRAEDIC;О
21878;;и;И;PART;;;Конечно , можно _и_ обругать человека на;и;;;;;;CONJ;И;CONJ;И
21879;;обругать;ОБРУГАТЬ;V pf - - inf - -;;;, можно и _обругать_ человека на французском;ь;т;а;г;у;р;V;ОБРУГАТЬ;V pf - - inf - -;Ь
21880;;человека;ЧЕЛОВЕК;S m anim acc sg;;;можно и обругать _человека_ на французском языке;а;к;е;в;о;л;S;ЧЕЛОВЕК;S m anim acc sg;К
21881;;на;НА;PR;;;и обругать человека _на_ французском языке ,;а;н;;;;;PR;НА;PR;А
21882;;французском;ФРАНЦУЗСКИЙ;A - loc sg plen m -;;;обругать человека на _французском_ языке , но;м;о;к;с;з;у;A;ФРАНЦУЗСКИЙ;A - loc sg plen m -;Й
21883;;языке;ЯЗЫК;S m inan loc sg;;;человека на французском _языке_ , но этобудет;е;к;ы;з;я;;S;ЯЗЫК;S m inan loc sg;К
21884;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21885;;но;НО;CONJ;;;французском языке , _но_ этобудет звучать ,;о;н;;;;;CONJ;НО;CONJ;О
21886;;этобудет;ЭТОБЫТЬ;V pf fut sg indic - 3p;раздельно;;языке , но _этобудет_ звучать , поймите;т;е;д;у;б;о;V;ЭТОБЫТЬ;V pf fut sg indic - 3p;Ь
21887;;звучать;ЗВУЧАТЬ;V ipf - - inf - -;;;, но этобудет _звучать_ , поймите ,;ь;т;а;ч;у;в;V;ЗВУЧАТЬ;V ipf - - inf - -;Ь
21888;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21889;;поймите;ПОНЯТЬ;V pf - pl imper - 2p;;;этобудет звучать , _поймите_ , очень романтично;е;т;и;м;й;о;V;ПОНЯТЬ;V pf - pl imper - 2p;Ь
21890;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21891;;очень;ОЧЕНЬ;ADV -;;;, поймите , _очень_ романтично и даже;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
21892;;романтично;РОМАНТИЧНО;ADV -;;;поймите , очень _романтично_ и даже вдохновенно;о;н;ч;и;т;н;ADV;РОМАНТИЧНО;ADV -;О
21893;;и;И;CONJ;;;, очень романтично _и_ даже вдохновенно .;и;;;;;;CONJ;И;CONJ;И
21894;;даже;ДАЖЕ;PART;;;очень романтично и _даже_ вдохновенно . ;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
21895;;вдохновенно;ВДОХНОВЕННО;ADV -;;;романтично и даже _вдохновенно_ .  ;о;н;н;е;в;о;ADV;ВДОХНОВЕННО;ADV -;О
21896;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21897;;;;;;;;;;;;;;;;;
21898;# sent = 1549;;;;;;;;;;;;;;;;
21899;;Кстати;КСТАТИ;PARENTH;;;.   _Кстати_ , английский в;и;т;а;т;с;к;ADV;КСТАТИ;ADV -;И
21900;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21901;;английский;АНГЛИЙСКИЙ;A - acc sg plen m -;;; Кстати , _английский_ в Париже понимают;й;и;к;с;й;и;A;АНГЛИЙСКИЙ;A - nom sg plen m -;Й
21902;;в;В;PR;;;Кстати , английский _в_ Париже понимают очень;в;;;;;;PR;В;PR;В
21903;;Париже;ПАРИЖ;S m inan loc2 sg;;;, английский в _Париже_ понимают очень мало;е;ж;и;р;а;п;S;ПАРИЖ;S m inan loc sg;Ж
21904;;понимают;ПОНИМАТЬ;V ipf praes pl indic - 3p;;;английский в Париже _понимают_ очень мало ,;т;ю;а;м;и;н;V;ПОНИМАТЬ;V ipf praes pl indic - 3p;Ь
21905;;очень;ОЧЕНЬ;ADV -;;;в Париже понимают _очень_ мало , так что;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
21906;;мало;МАЛО;NUM acc;;;Париже понимают очень _мало_ , так что ,;о;л;а;м;;;ADV;МАЛО;ADV -;О
21907;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21908;;так что;так что;CONJ;слитно;;очень мало , _так что_ , собравшись в;о;т;ч; ;к;а;CONJ;так что;CONJ;о
21909;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21910;;собравшись;СОБРАТЬСЯ;V pf praet - ger - -;;;, так что , _собравшись_ в Париж ,;ь;с;и;ш;в;а;V;СОБРАТЬСЯ;V pf praet - ger - -;Я
21911;;в;В;PR;;;так что , собравшись _в_ Париж , ээ;в;;;;;;PR;В;PR;В
21912;;Париж;ПАРИЖ;S m inan acc sg;;;, собравшись в _Париж_ , ээ ,;ж;и;р;а;п;;S;ПАРИЖ;S m inan acc sg;Ж
21913;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21914;;ээ;ЭЭ;NONLEX;;;в Париж , _ээ_ , неплохо бы;э;э;;;;;NONLEX;ЭЭ;NONLEX;Э
21915;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21916;;неплохо;НЕПЛОХО;ADV -;;;, ээ , _неплохо_ бы захватить с;о;х;о;л;п;е;ADV;НЕПЛОХО;ADV -;О
21917;;бы;БЫ;PART;;;ээ , неплохо _бы_ захватить с собой;ы;б;;;;;PART;БЫ;PART;Ы
21918;;захватить;ЗАХВАТИТЬ;V pf - - inf - -;;;, неплохо бы _захватить_ с собой либо;ь;т;и;т;а;в;V;ЗАХВАТИТЬ;V pf - - inf - -;Ь
21919;;с;С;PR;;;неплохо бы захватить _с_ собой либо разговорник;с;;;;;;PR;С;PR;С
21920;;собой;СЕБЯ;SPRO - - - ins;;;бы захватить с _собой_ либо разговорник ,;й;о;б;о;с;;SPRO;СЕБЯ;SPRO - - - ins;Я
21921;;либо;ЛИБО;CONJ;;;захватить с собой _либо_ разговорник , либо;о;б;и;л;;;CONJ;ЛИБО;CONJ;О
21922;;разговорник;РАЗГОВОРНИК;S m inan acc sg;;;с собой либо _разговорник_ , либо выучить;к;и;н;р;о;в;S;РАЗГОВОРНИК;S m inan acc sg;К
21923;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21924;;либо;ЛИБО;CONJ;;;либо разговорник , _либо_ выучить , м;о;б;и;л;;;CONJ;ЛИБО;CONJ;О
21925;;выучить;ВЫУЧИТЬ;V pf - - inf - -;;;разговорник , либо _выучить_ , м ,;ь;т;и;ч;у;ы;V;ВЫУЧИТЬ;V pf - - inf - -;Ь
21926;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21927;;м;М;NONLEX;;;либо выучить , _м_ , ну десяток;м;;;;;;INTJ;М;S - - nonflex -;М
21928;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21929;;ну;НУ;PART;;;, м , _ну_ десяток фраз ,;у;н;;;;;PART;НУ;PART;У
21930;;десяток;ДЕСЯТОК;S m inan acc sg;;;м , ну _десяток_ фраз , чтобы;к;о;т;я;с;е;S;ДЕСЯТОК;S m inan nom sg;К
21931;;фраз;ФРАЗА;S f inan gen pl;;;, ну десяток _фраз_ , чтобы тебя;з;а;р;ф;;;S;ФРАЗА;S f inan gen pl;А
21932;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21933;;чтобы;ЧТОБЫ;CONJ;;;десяток фраз , _чтобы_ тебя принимали ,;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ;Ы
21934;;тебя;ТЫ;SPRO sg 2p - acc;;;фраз , чтобы _тебя_ принимали , по крайней мере;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc;Ы
21935;;принимали;ПРИНИМАТЬ;V ipf praet pl indic - -;;;, чтобы тебя _принимали_ , по крайней мере ,;и;л;а;м;и;н;V;ПРИНИМАТЬ;V ipf praet pl indic - -;Ь
21936;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21937;;по крайней мере;по крайней мере;ADV -;раздельно;;тебя принимали , _по крайней мере_ , с уважением;е;р;е;м; ;й;ADV;по крайней мере;ADV -;е
21938;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21939;;с;С;PR;;;, по крайней мере , _с_ уважением . ;с;;;;;;PR;С;PR;С
21940;;уважением;УВАЖЕНИЕ;S n inan ins sg;;;по крайней мере , с _уважением_ .  ;м;е;и;н;е;ж;S;УВАЖЕНИЕ;S n inan ins sg;Е
21941;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21942;;;;;;;;;;;;;;;;;
21943;# sent = 1550;;;;;;;;;;;;;;;;
21944;;Ну;НУ;PART;;;.   _Ну_ и ты будешь;у;н;;;;;PART;НУ;PART;У
21945;;и;И;CONJ;;;  Ну _и_ ты будешь уважительно;и;;;;;;CONJ;И;CONJ;И
21946;;ты;ТЫ;SPRO sg 2p - nom;;; Ну и _ты_ будешь уважительно относиться;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
21947;;будешь;БЫТЬ;V ipf praes sg indic - 2p;;;Ну и ты _будешь_ уважительно относиться к;ь;ш;е;д;у;б;V;БЫТЬ;V ipf praes sg indic - 2p;Ь
